
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-1.42251720e+01, -1.99230981e+00, 1.24020576e-02, 1.11866028e+03, 8.02832108e+01, 4.97439742e-01, 0.00000000e+00
-1.44653692e+01, -2.14582515e+00, 1.24020576e-02, 1.12655945e+03, 8.02261658e+01, 4.81595993e-01, 0.00000000e+00
-1.41845179e+01, -2.32381177e+00, 1.24020576e-02, 1.12421375e+03, 8.03227997e+01, 6.07924283e-01, 0.00000000e+00
6.10449028e+00, -6.32061768e+00, 1.24020576e-02, 7.49063950e+01, 8.09247131e+01, 1.77136815e+00, 0.00000000e+00
6.33968067e+00, -6.52234221e+00, 1.24020576e-02, 7.00695267e+01, 7.23076248e+01, 1.41469729e+00, 0.00000000e+00
6.45502329e+00, -6.28911972e+00, 1.24020576e-02, 7.15091858e+01, 8.20247040e+01, 1.76284373e+00, 0.00000000e+00
8.22858047e+00, 2.32243943e+00, 1.24020576e-02, 1.45263824e+02, 9.36485291e+01, 2.32283735e+00, 0.00000000e+00
8.60434151e+00, 2.26346850e+00, 1.24020576e-02, 1.02569389e+02, 9.52840958e+01, 1.64142597e+00, 0.00000000e+00
8.44968891e+00, 2.54565001e+00, 1.24020576e-02, 1.20232773e+02, 9.41709900e+01, 9.88824069e-01, 0.00000000e+00
-5.47482014e+00, -4.06148970e-01, 1.24020576e-02, 9.36747925e+02, 8.22612305e+01, -1.35432974e-01, 0.00000000e+00
-5.78625393e+00, -5.22876740e-01, 1.24020576e-02, 9.29378967e+02, 8.23626328e+01, -1.17409565e-01, 0.00000000e+00
-5.49619818e+00, -7.37908781e-01, 1.24020576e-02, 9.31990295e+02, 8.23616867e+01, -2.20395848e-01, 0.00000000e+00
-1.01978168e+01, -1.49265683e+00, 1.24020576e-02, 9.85614929e+02, 8.18086319e+01, 5.48612595e-01, 0.00000000e+00
-9.91031647e+00, -1.62523651e+00, 1.24020576e-02, 9.76785706e+02, 8.19468002e+01, 5.79120278e-01, 0.00000000e+00
-9.88859177e+00, -1.33308363e+00, 1.24020576e-02, 9.77376770e+02, 8.18740082e+01, 4.72725958e-01, 0.00000000e+00
6.22222376e+00, -5.72295141e+00, 1.24020576e-02, 7.78636932e+01, 9.32710266e+01, 2.28141856e+00, 0.00000000e+00
6.34974146e+00, -5.94813347e+00, 1.24020576e-02, 7.69451065e+01, 8.99088974e+01, 2.11235118e+00, 0.00000000e+00
6.50638628e+00, -5.70347643e+00, 1.24020576e-02, 7.80776825e+01, 9.32828522e+01, 2.29503679e+00, 0.00000000e+00
1.27286892e+01, -5.52064991e+00, 1.24020576e-02, 3.84157257e+01, 9.22210770e+01, 1.72069991e+00, 0.00000000e+00
